group,subgroup,suborder,subcat,xaxis,xorder,xlabel,chart,value,count,total,missing,x0,x1,x2,x3
Colorado,majmatch,1,,actcat,2,16-19,Percent who declared in major area,45.8,599,1307,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Colorado,majmatch,1,,actcat,3,20-23,Percent who declared in major area,51.9,1487,2864,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Colorado,majmatch,1,,actcat,4,24-27,Percent who declared in major area,57.8,1795,3107,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Colorado,majmatch,1,,actcat,5,28-32,Percent who declared in major area,63.6,1247,1961,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Colorado,majmatch,1,,actcat,6,33-36,Percent who declared in major area,69.5,221,318,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Colorado,declrdfit,1,,actcat,1,1-15,Percent who had good I-M Fit for declared,27.5,107,389,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Colorado,declrdfit,1,,actcat,2,16-19,Percent who had good I-M Fit for declared,36,433,1204,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Colorado,declrdfit,1,,actcat,3,20-23,Percent who had good I-M Fit for declared,40.2,1072,2666,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Colorado,declrdfit,1,,actcat,4,24-27,Percent who had good I-M Fit for declared,42.3,1225,2896,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Colorado,declrdfit,1,,actcat,5,28-32,Percent who had good I-M Fit for declared,45.1,817,1811,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Colorado,declrdfit,1,,actcat,6,33-36,Percent who had good I-M Fit for declared,48.4,137,283,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Connecticut,majmatch,1,,actcat,1,1-15,Percent who declared in major area,56.5,35,62,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Connecticut,majmatch,1,,actcat,2,16-19,Percent who declared in major area,56.3,207,368,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Connecticut,majmatch,1,,actcat,3,20-23,Percent who declared in major area,59.3,480,810,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Connecticut,majmatch,1,,actcat,4,24-27,Percent who declared in major area,64.6,649,1004,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Connecticut,majmatch,1,,actcat,5,28-32,Percent who declared in major area,66.8,482,722,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Connecticut,majmatch,1,,actcat,6,33-36,Percent who declared in major area,69.5,73,105,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Connecticut,declrdfit,1,,actcat,1,1-15,Percent who had good I-M Fit for declared,27.8,10,36,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Connecticut,declrdfit,1,,actcat,2,16-19,Percent who had good I-M Fit for declared,33.1,85,257,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Connecticut,declrdfit,1,,actcat,3,20-23,Percent who had good I-M Fit for declared,39.9,220,551,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Connecticut,declrdfit,1,,actcat,4,24-27,Percent who had good I-M Fit for declared,43.4,285,656,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Connecticut,declrdfit,1,,actcat,5,28-32,Percent who had good I-M Fit for declared,41.9,190,454,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Connecticut,declrdfit,1,,actcat,6,33-36,Percent who had good I-M Fit for declared,44.3,31,70,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Delaware,majmatch,1,,actcat,1,1-15,Percent who declared in major area,72.2,13,18,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Delaware,majmatch,1,,actcat,2,16-19,Percent who declared in major area,69.4,34,49,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Delaware,majmatch,1,,actcat,3,20-23,Percent who declared in major area,67.6,94,139,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Delaware,majmatch,1,,actcat,4,24-27,Percent who declared in major area,68.4,106,155,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Delaware,majmatch,1,,actcat,5,28-32,Percent who declared in major area,71.9,69,96,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Delaware,majmatch,1,,actcat,6,33-36,Percent who declared in major area,78.9,15,19,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Delaware,declrdfit,1,,actcat,1,1-15,Percent who had good I-M Fit for declared,61.5,8,13,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Delaware,declrdfit,1,,actcat,2,16-19,Percent who had good I-M Fit for declared,30.8,12,39,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Delaware,declrdfit,1,,actcat,3,20-23,Percent who had good I-M Fit for declared,38,38,100,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
